"","Tank","Treatment","Pred_treatment","Urch_habitat_treatment","Date","Day_numrecord","Time","Trial","Total_num_urchin","Num_urch_on_kelp","pycno1_position","pycno1_slice","Pycno1 activity","pycno2_position","pycno2_slice","Pycno2 activity","Notes","slice","crev_count","urchin_slice_count","pyc_slice_count","dist_slice_pyc1","dist_slice_pyc2","up_dn_pyc1","up_dn_pyc2","variance_of_urch_distrib","var_to_mean","pcnt_in_crev","pcnt_on_kelp","trial_avg_pcnt_in_crev","trial_sd_pcnt_in_crev","trial_avg_var_to_mean","trial_avg_pcnt_on_kelp"
"1",1,"Control_KF","Control","KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,"1",NA,3,0,100,100,"upstream","upstream",2.30769230769231,1.25,0,0,0,0,3.52293097904511,6.46203886693017
"2",1,"Control_KF","Control","KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,"2",NA,3,0,100,100,"upstream","upstream",2.30769230769231,1.25,0,0,0,0,3.52293097904511,6.46203886693017
"3",1,"Control_KF","Control","KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,"3",NA,3,0,100,100,"upstream","upstream",2.30769230769231,1.25,0,0,0,0,3.52293097904511,6.46203886693017
"4",1,"Control_KF","Control","KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,"4",NA,3,0,100,100,"upstream","upstream",2.30769230769231,1.25,0,0,0,0,3.52293097904511,6.46203886693017
"5",1,"Control_KF","Control","KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,"6",NA,3,0,100,100,"upstream","upstream",2.30769230769231,1.25,0,0,0,0,3.52293097904511,6.46203886693017
"6",1,"Control_KF","Control","KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,"5",NA,3,0,100,100,"upstream","upstream",2.30769230769231,1.25,0,0,0,0,3.52293097904511,6.46203886693017
"7",1,"Control_KF","Control","KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,"7",NA,3,0,100,100,"upstream","upstream",2.30769230769231,1.25,0,0,0,0,3.52293097904511,6.46203886693017
"8",1,"Control_KF","Control","KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,"8",NA,3,0,100,100,"upstream","upstream",2.30769230769231,1.25,0,0,0,0,3.52293097904511,6.46203886693017
"9",1,"Control_KF","Control","KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,"0.5",NA,0,0,100,100,"upstream","upstream",2.30769230769231,1.25,0,0,0,0,3.52293097904511,6.46203886693017
"10",1,"Control_KF","Control","KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,"2.5",NA,0,0,100,100,"upstream","upstream",2.30769230769231,1.25,0,0,0,0,3.52293097904511,6.46203886693017
"11",1,"Control_KF","Control","KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,"4.5",NA,0,0,100,100,"upstream","upstream",2.30769230769231,1.25,0,0,0,0,3.52293097904511,6.46203886693017
"12",1,"Control_KF","Control","KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,"6.5",NA,0,0,100,100,"upstream","upstream",2.30769230769231,1.25,0,0,0,0,3.52293097904511,6.46203886693017
"13",1,"Control_KF","Control","KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,0,100,100,"upstream","upstream",2.30769230769231,1.25,0,0,0,0,3.52293097904511,6.46203886693017
"14",2,"Star_KF","Star","KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,"1",NA,3,NA,NA,NA,NA,NA,2.30769230769231,1.25,0,0,0,0,3.56501152832675,12.0553359683794
"15",2,"Star_KF","Star","KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,"2",NA,3,NA,NA,NA,NA,NA,2.30769230769231,1.25,0,0,0,0,3.56501152832675,12.0553359683794
"16",2,"Star_KF","Star","KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,"3",NA,3,NA,NA,NA,NA,NA,2.30769230769231,1.25,0,0,0,0,3.56501152832675,12.0553359683794
"17",2,"Star_KF","Star","KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,"4",NA,3,NA,NA,NA,NA,NA,2.30769230769231,1.25,0,0,0,0,3.56501152832675,12.0553359683794
"18",2,"Star_KF","Star","KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,"6",NA,3,NA,NA,NA,NA,NA,2.30769230769231,1.25,0,0,0,0,3.56501152832675,12.0553359683794
